active_item_id,active_item_name,item_equality,unit_weight,item_description,effect_params,sell_price,drop_weight,max_carry_count,grid_width,grid_height,icon_path
int,string,int,float,string,int[],int,float,int,int,int,string
主动道具唯一ID，使用10000～19999号段,显示名称,品质：0白、1绿、2蓝、3紫、4金,单个主动道具重量,主动道具说明,效果参数，使用英文分号分隔,单个主动道具出售价格,同品质候选中的相对权重,背包内允许携带的总数量上限，每格固定只能放1个,占用格宽，当前固定1,占用格高，当前固定1,图标资源路径，可留空使用名称首字占位
10000,绷带,1,0.2,使用后恢复玩家本体{0}%最大生命。,10,100,60,10,1,1,res://assets/art/items/icons/active/active_item_10000.png
10001,磨砺油膏,1,0.25,使用后使下一场战斗中的我方上场英雄额外获得{0}点攻击力。,1,175,30,5,1,1,res://assets/art/items/icons/active/active_item_10001.png
10002,轻足薄荷糖,1,0.05,使用后使玩家移动速度提高{0}%，持续{1}秒。,10;20,100,40,5,1,1,res://assets/art/items/icons/active/active_item_10002.png
10003,粗制幸运符,1,0.08,下一次打开新的搜索目标时，获得高品质物品的概率提升{0}%,15,200,15,5,1,1,res://assets/art/items/icons/active/active_item_10003.png
10004,幸运卡套,1,0.15,下一次打开新的搜索目标时，卡牌出现概率提升{0}%。,25,180,12,4,1,1,res://assets/art/items/icons/active/active_item_10004.png
10005,急救包,2,1,使用后恢复玩家本体{0}%最大生命。,25,280,50,3,1,1,res://assets/art/items/icons/active/active_item_10005.png
10006,祈愿签,2,0.08,下一次打开新的搜索目标时，不会出现空格物品。,,380,20,5,1,1,res://assets/art/items/icons/active/active_item_10006.png
10007,满溢祝福,2,0.3,使用后下一场战斗每回合额外获得{0}点能量,1,300,15,3,1,1,res://assets/art/items/icons/active/active_item_10007.png
10008,护身符,2,0.3,立即击杀下一次遭遇的普通怪物。,,400,10,4,1,1,res://assets/art/items/icons/active/active_item_10008.png
10009,疾风药剂,2,0.25,使用后使玩家世界移动速度提高{0}%，持续{1}秒。,30;30,280,25,3,1,1,res://assets/art/items/icons/active/active_item_10009.png
10010,蓝羽,2,0.05,下一次打开新的搜索目标时，获得高品质物品的概率提升{0}%,30,350,10,3,1,1,res://assets/art/items/icons/active/active_item_10010.png
10011,秘藏卡匣,2,0.4,下一次打开新的搜索目标时，卡牌出现概率提升{0}%。,50,450,10,3,1,1,res://assets/art/items/icons/active/active_item_10011.png
10012,医疗箱,3,0.15,使用后恢复玩家本体{0}%最大生命。,50,680,50,5,1,1,res://assets/art/items/icons/active/active_item_10012.png
10013,命运卡册,3,0.6,下一次打开新的搜索目标时，必定出现卡牌道具。,,999,6,2,1,1,res://assets/art/items/icons/active/active_item_10013.png
10014,生命结晶,4,0.3,使用后恢复玩家本体{0}%最大生命。,100,1000,25,2,1,1,res://assets/art/items/icons/active/active_item_10014.png
